#mean constraint_loss
Distance: 0.12388841929029881, Radius: 0.06415108683352608, Interval: 0.004487246830742836, DailyLoc: 0.03411321365843557, Category: 0.00670725349347432, 'G-RANK': 0.18330949035910934, OVR_ref_skip: 0.372649068384441, OVR_ref_strict: 0.6182725012031433, coverage: 0.5800317825634281, Unsat_ref: 0.6883116883116883
#sum constraint_loss
Distance: 0.14705904511872203, Radius: 0.07914960396135012, Interval: 0.004483643261080492, DailyLoc: 0.03519038873501623, Category: 0.006171622753363918, 'G-RANK': 0.19298717343014354, OVR_ref_skip: 0.23161872402752232, OVR_ref_strict: 0.532965753498179, coverage: 0.5579483807331909, Unsat_ref: 0.5855115348786235
#projection_frequency:1
Distance: 0.17532869755680475, Radius: 0.09927506687023949, Interval: 0.00434393340419411, DailyLoc: 0.03752345275173416, Category: 0.013632919876524152, 'G-RANK': 0.22177933078985584, OVR_ref_skip: 0.2497179229669891, OVR_ref_strict: 0.5450461346510141, coverage: 0.5769083237437668, Unsat_ref: 0.5875390432352458
#projection_frequency:2
#projection_existence_weight:1.0
Distance: 0.14681312469611177, Radius: 0.07698131258256902, Interval: 0.0045158760822928455, DailyLoc: 0.034983412441771986, Category: 0.006652078215224958, 'G-RANK': 0.1952703750738808, OVR_ref_skip: 0.2605118810541847, OVR_ref_strict: 0.5411775360263148, coverage: 0.5743876376787769, Unsat_ref: 0.5910460847169708
#kl weight:0.6
Distance: 0.14655726051231446, Radius: 0.07809258558978512, Interval: 0.004485509316203786, DailyLoc: 0.03517920793719908, Category: 0.006361218678969121, 'G-RANK': 0.19605130118364555, OVR_ref_skip: 0.25970777459459216, OVR_ref_strict: 0.5445167617057449, coverage: 0.5722505342758507, Unsat_ref: 0.5930735930735931
#kl weight:1.0
Distance: 0.14652793487087362, Radius: 0.0788094189217982, Interval: 0.004488621896622308, DailyLoc: 0.03431496924510495, Category: 0.006860977388736747, 'G-RANK': 0.19294881887965384, OVR_ref_skip: 0.2508614645252576, OVR_ref_strict: 0.538655610463537, coverage: 0.5713189763822675, Unsat_ref: 0.5887993862677406
#projection_existence_weight:0.8
Distance: 0.14617616447445417, Radius: 0.07488326291717265, Interval: 0.004488439509100661, DailyLoc: 0.03462286918889804, Category: 0.0063370679239856675, 'G-RANK': 0.19460022302131108, OVR_ref_skip: 0.2303934315647463, OVR_ref_strict: 0.5244946415877592, coverage: 0.5633733355252343, Unsat_ref: 0.582662063674722
#projection_existence_weight:0.6
Distance: 0.14204938375565335, Radius: 0.07507984669891674, Interval: 0.004499645011982916, DailyLoc: 0.03605988746187773, Category: 0.005589959171283337, 'G-RANK': 0.1885707815529386, OVR_ref_skip: 0.19768760112526831, OVR_ref_strict: 0.5191231375181946, coverage: 0.5457285330703052, Unsat_ref: 0.5748808153871445
#kl weight:1.5
Distance: 0.13600981853301472, Radius: 0.06819471408853589, Interval: 0.004483875399885673, DailyLoc: 0.03500401897333757, Category: 0.00603939140065997, 'G-RANK': 0.1930631606382126, OVR_ref_skip: 0.20771009751426978, OVR_ref_strict: 0.5317917957965861, coverage: 0.54474217765357, Unsat_ref: 0.5799221875171242
#kl weight:1.0
#projection_outer_iters:30
Distance: 0.1623103611347413, Radius: 0.08740091263822167, Interval: 0.004564747012481987, DailyLoc: 0.03816697634997181, Category: 0.009624882409131391, 'G-RANK': 0.19878677034110415, OVR_ref_skip: 0.19405181654978237, OVR_ref_strict: 0.5243771478178133, coverage: 0.5347690284399145, Unsat_ref: 0.5881418159899172
#projection_gumbel_temperature：1.5
Distance: 0.1845855938059499, Radius: 0.10955283907218702, Interval: 0.00462527425053333, DailyLoc: 0.03872626545688543, Category: 0.015555542464262948, 'G-RANK': 0.23015736032289807, OVR_ref_skip: 0.20247649074383062, OVR_ref_strict: 0.49781164323102534, coverage: 0.584963559647104, Unsat_ref: 0.5595923064277495
#projection_outer_iters:25
Distance: 0.1759185934991177, Radius: 0.10193177940728088, Interval: 0.0046117373494429376, DailyLoc: 0.04079103142121253, Category: 0.01453513148434218, 'G-RANK': 0.2275928823619901, OVR_ref_skip: 0.20467148098310767, OVR_ref_strict: 0.4950150637490517, coverage: 0.5958682667543427, Unsat_ref: 0.5482492191352951
#projection_outer_iters:20
Distance: 0.16766251671846916, Radius: 0.09323017936510171, Interval: 0.004952035589071823, DailyLoc: 0.039888389286992294, Category: 0.011819284000309689, 'G-RANK': 0.21666365743158278, OVR_ref_skip: 0.2004985463324305, OVR_ref_strict: 0.4926548341801376, coverage: 0.5982245602498767, Unsat_ref: 0.5419475039728204
#projection_outer_iters:15
Distance: 0.14864265224844045, Radius: 0.07756974031983431, Interval: 0.004736862917248088, DailyLoc: 0.03971516624207754, Category: 0.007424843191248016, 'G-RANK': 0.19980004540118673, OVR_ref_skip: 0.19426624982447213, OVR_ref_strict: 0.4850328392806877, coverage: 0.5917584525179462, Unsat_ref: 0.5404131733245657
#projection_outer_iters:10
Distance: 0.13638292875097938, Radius: 0.07225539634381692, Interval: 0.00502196126157578, DailyLoc: 0.038491647044213775, Category: 0.005047321524660767, 'G-RANK': 0.19089176157305715, OVR_ref_skip: 0.20527975546106086, OVR_ref_strict: 0.5173377368416151, coverage: 0.5637569181872979, Unsat_ref: 0.5691270754561893
#projection_outer_iters:15
#projection_gumbel_temperature：2.0
Distance: 0.17150892130547968, Radius: 0.09961061587985719, Interval: 0.00470757866149045, DailyLoc: 0.04193148574019775, Category: 0.013054431380387563, 'G-RANK': 0.22467904780302925, OVR_ref_skip: 0.17738812869136883, OVR_ref_strict: 0.46997823213960377, coverage: 0.6150473998575264, Unsat_ref: 0.5171242259849855
#projection_gumbel_temperature：3.0
Distance: 0.17712643842276254, Radius: 0.1049418162916293, Interval: 0.004738307586134519, DailyLoc: 0.042884739054163915, Category: 0.016509137399321257, 'G-RANK': 0.23697031342674052, OVR_ref_skip: 0.1649948675062311, OVR_ref_strict: 0.4461852796050188, coverage: 0.6169105156446929, Unsat_ref: 0.5051235684147076
#projection_gumbel_temperature：4.0
Distance: 0.17332095424212776, Radius: 0.09879480691806873, Interval: 0.004694614671362172, DailyLoc: 0.04221769225400378, Category: 0.0174804295472751, 'G-RANK': 0.23882101621255122, OVR_ref_skip: 0.151967110665177, OVR_ref_strict: 0.44359360625516536, coverage: 0.6032659323798565, Unsat_ref: 0.5100553454983835
#projection_inner_iters:30
Distance: 0.1730143657994868, Radius: 0.09742661757361748, Interval: 0.00472591814860218, DailyLoc: 0.04318227734239414, Category: 0.017763129848463982, 'G-RANK': 0.2371191659340265, OVR_ref_skip: 0.15457228356456712, OVR_ref_strict: 0.4446055667530662, coverage: 0.6065537837689736, Unsat_ref: 0.5097813578826237
#projection_gumbel_temperature：3.0
Distance: 0.17724796263186207, Radius: 0.10226909513685115, Interval: 0.0047276350768002216, DailyLoc: 0.04162731587758925, Category: 0.017487499245731224, 'G-RANK': 0.2336622793729204, OVR_ref_skip: 0.16449466589273481, OVR_ref_strict: 0.443739169185661, coverage: 0.6164173379363252, Unsat_ref: 0.503534440243301
#projection_inner_iters:25
#projection_outer_iters:20
Distance: 0.1767896488367432, Radius: 0.10221515578470185, Interval: 0.004908638517509769, DailyLoc: 0.039431574177297424, Category: 0.01847906372920531, 'G-RANK': 0.2382022800551142, OVR_ref_skip: 0.17743598424702847, OVR_ref_strict: 0.4603677499919915, coverage: 0.597895775110965, Unsat_ref: 0.5260562222587539
#projection_outer_iters:15
#projection_eta:0.2
Distance: 0.1716425268053519, Radius: 0.09910120665373688, Interval: 0.00469286428481569, DailyLoc: 0.039954040644813796, Category: 0.017136149270971672, 'G-RANK': 0.23927376139835188, OVR_ref_skip: 0.1590408167422843, OVR_ref_strict: 0.4437677200538221, coverage: 0.614444627102855, Unsat_ref: 0.5056715436462272
#projection_eta:0.15
#projection_mu_alpha:1.5
Distance: 0.17202837639477914, Radius: 0.09829447782615253, Interval: 0.004700031691891043, DailyLoc: 0.04165593027029184, Category: 0.018124417517300435, 'G-RANK': 0.23987348993610932, OVR_ref_skip: 0.1763793074871143, OVR_ref_strict: 0.4565466196980875, coverage: 0.6002520686064989, Unsat_ref: 0.5277001479533125
#projection_mu_alpha:1.3
#projection_existence_weight:0.7
Distance: 0.17398359262584162, Radius: 0.10022273656160106, Interval: 0.004733652243672391, DailyLoc: 0.04341866058374594, Category: 0.016393581755413344, 'G-RANK': 0.23713085816563162, OVR_ref_skip: 0.16195392509158082, OVR_ref_strict: 0.4438191592350068, coverage: 0.6195955942791386, Unsat_ref: 0.5031508575812373
#projection_existence_weight:0.9
Distance: 0.17386972302821174, Radius: 0.1003279690514333, Interval: 0.004737406548694482, DailyLoc: 0.04216487528536422, Category: 0.017554967768705167, 'G-RANK': 0.23868496872716177, OVR_ref_skip: 0.17580811528887452, OVR_ref_strict: 0.4511371953694744, coverage: 0.6166913255520851, Unsat_ref: 0.514110362211628
#projection_existence_weight:0.7
#new distance and new coverage
